,access_date,type,country,cost,code,notes,note,pre,post_accept,post_decline,pass,accept_vendors,accept_legit,pre_vendors,pre_legit,decline_vendors,decline_legit,cmp,dec
"autoflotte,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrNN4xPrNN5zAcABBENDCCsAP_AAH_AAAYgIXNf_X__b2_j-_5_f_t0eY1P9_7_v-0zjhfdl-8N3f_X_L8X52M7vF36pq4KuR4ku3LBIQVlHOHcDUmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n13T-ZKY7_6vO__zvneQAgZCAGAAhAAQQAAAgKAAAAAAAAAASEAAAAAAAAAAAABAAgIkEELgCTDVuIAuzLHBm2jCKBECMKwkKgFABRQDC0QGEDq4KdlcBPrCJACgFAE4EQIcAUZMAgAAEgCQiACQI8EAgAIgEAAIAFQiEABGwCCwAsBAIABQDQsQIoAhAkIMCACIUwICgAAABACAAAAAAAAAAABAAAAAAAAAACAAAAAAAAAAAAAAAAAAACAOEgBAMGAhCEAAgQMDQAQGMDoAQDBgGMEAAIEKCkAIBjAEISgAECBg,f_gAD_gAAAAA","CPrNN7WPrNN86AcABBENDCCgAAAAAAAAAAYgAAAAAADhIAQDBgIQhAAIEDA0AEBjA6AEAwYBjBAACBCgpACAYwBCEoABAgYA,YAAAAAAAAAAA",1,199,199,0,0,0,0,0,10
"autofrage,net",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAABAACQgAAAF1gAgF1AAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCsAP_AAAHAACQgIslV5D9dLGFBMXZ5YNsgSYUX1sARpmQCCBaAE6AFwAOA8IAEk0AAMARgACACABAAoADBIAAkDABEAUCQAAgFASHkIgSAgAAKIAAAAAMQAwAAAAsAAAAAEAAIhEAJIwAAmCqwYwrsRkAEhIAQAgAAgIgBAKABAgMACEEYAAAAAAIAAoAAAgIEEAAAAAECAusAEAuoBoSBaAAgABYAFQAMgAcgA8AEAAMgAaQBEAEUAJgATwAqgBvADmAHoAPwAhABDQCIAIkASwAmgBSgC3AGHAPsA_QCBgEaAI4AXMAxQBtADcAHEAPkAocBeYDBgGGgMkAayA4IB44EIQIXARSDQBAAuACGgH2AfgB8hEAMAQ0A-wD8APkKgCABMAC4ARwBeYyAGAEwAjgC8x0DAABYAFQAMgAcgA-AEAAMgAaAA-gCIAIoATAAngBVAC4AGIAN4AcwA9AB-AENAIgAiQBLACaAFKALEAW4AwwBowD7AP0AgYBFgCOAFzAMUAbQA3ABxADnAIvAUOAvMBgwDDQGSAMsAcWA8cCAIEUhwAQABAAFwEIANNIQEgAFgAZACYAFUALgAYgA3gB6AFKALEAfYBHAC5gGKANoAc4B44EKCAAEABBKAyAAgABYAGQAOAAfACIAEwAKoAXAAxACGgEQARIApQBbwD7APwAjgBcwDFAG4APkAi8BeYDLAIAgQhJAAQALlIE4ACwAKgAZAA5AB8AIAAZAA0gCIAIoATAAngBSACqAGIAOYAfgBDQCIAIkAUoAsQBbgDRgH2AfoBFgCOAFzAMUAbQA3ACLwFDgLzAYaAyQBlgDWQHBAPHAhCBFIoABAAuA,YAAAAAAAAAAA","eyJhbGciOiJSUzI1NiIsImtpZCI6ImNkcG04c1V6aWI1RlJneXlyc1I2Ui1tVmdHNEx5bmpFejdKZUlEeWY2WnMifQ,eyJhdXRoIjp0cnVlLCJ0eXBlIjoidHJpYWwiLCJwbGFucyI6WyI0OGU2NDk4Ny0zMDMyLTRhMzQtYmU1Yy00YjFiODQ0Mjk5NjgiXSwiYXVkIjoiYTNiNmMzMmEiLCJpYXQiOjE2ODMxMDEzMjcsImV4cCI6MTY4MzI3NzcyN30,wz6ATKaHGVmFDb55X___YCk0RTuymGn1okskJ5kpbeDbHrq7iQWjpQwgDaiVMD0PvlhW8JtZmw1UmJd3-CtiQKxIOt-Hiwr0C3ASzo-oDNLlLvj1X1m6iKJ7z37qzmdUYV7iytsZ2Rs0OohmMfn92jvZfosAc8cVizO71_dGr4ixK2jH3iMl7_tUlV4uSksKsSONbdiRUw6KA_7-_3xB4ueoRUvMY3SlCe4kKrJpyN2KxKy5UNaFjrdpwDW9t0W7FpKav1PAheb-U_eL4WSga0imShTc04STtTvMyo6LAOgzuxpe_nBwLiPo8P_7BOwlnqHCPVzl-15ju9F2VUWjkQ",1,1,1,0,1,0,0,6,11
"autoguru,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAP_AAAAAACQgIxBFJCpNDWFAMHBdAJIgGYAV1sAQICQAAACAAwAFCAGA8IAA0QEAEAQAAAAAAAAAgVABAAAAAABEAACAAAAEAQFkAAQQgAAIAAAAAAEQQgBAAAgAAAAAAAAIgAABAwQAkACQIYLGBEAAhIAQCgAAgIgBAACAAAMACEAYAAAAAAIAAIBAAgJEMAAAAAEAAQAAAHBIEwACAAKgAZAA5AB8AIAAZAA0gCIAIoATAAngBvADmAH4AQgAhoBEAESAJYAUoAw4B9gH6AQMAigBGgC5gGKANoAbgA-QChwF5gMGAYaA1kBwQDkwHjgQhAikEACgDnAXQAyECBgELg0AMAQ0A-wD8APkIgBgCGgH2AfgB8hUAIAJgC8xkAIAJgC8x0CUACoAGQAOQAfACAAGQANAAfQBEAEUAJgATwA3gBzAD8AIaARABEgCWAFKAMMAaMA-wD9AIGARQAiwBcwDFAG0ANwAi8BMgChwF5gMGAYaAywByYDxwIpDgBYACAALgBQAHOAXoA-QCEAFxALoAZCA00hAKAAyAEwAN4ApQB9gEUALmAYoA2gDxyAAQABAA5wF0AQoJQEgAEAAZAA4AB8AIgATABDQCIAIkAUsA-wD8ALmAYoA3AB8gEXgLzAZYBCEkABAAuUgQgAVAAyAByAD4AQAAyABpAEQARQAmABPACkAHMAPwAhoBEAESAKUAaMA-wD9AIsAXMAxQBtADcAIvAUOAvMBhoDLAGsgOCAcmA8cCEIEUigAQAC4A5wCRAQMAAAA,f_gAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA",1,0,0,0,0,0,0,6,12
"autohaus,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrNORWPrNORWAcABBENDCCsAP_AAH_AAAYgIUNf_X__b2_j-_59f_t0eY1P9_7_v-0zjhfdl-8N2f_X_L8X52M7vF36pq4KuR4ku3LBIQVlHOHcDUmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n13T-ZKY7_6vO__zvneQAgZCAGAAhAAQQAAAgKAAAAAAAAAASAAAAAAAAAAAAABAAAIEDtgCTDVuIAuzLHBm2jCKBECMKwkKgFABRQDC0QGEDK4KdlcBPrCJACgFAE4EQIcAUZMAgAAEgCQiACQI8EAgAIgEAAIAFQiEABGwCCwAsBAIABQDQsQIoAhAkIMCACIUwICgAAABACAAAAAAAAAAABAAAAAAAAAACAOEgBAMGAhCEAAgQMDQAQGMDoAQDBgGMEAAIEKCkAIBjAEISgAECBgA,f_gAD_gAAAAA","CPrNOT7PrNOT7AcABBENDCCgAAAAAAAAAAYgAAAAAADhIAQDBgIQhAAIEDA0AEBjA6AEAwYBjBAACBCgpACAYwBCEoABAgYA,YAAAAAAAAAAA",1,197,197,0,0,0,0,0,13
"automobil-industrie,vogel,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfNddENDCCgAAAAAAAAAAigAAAAAAFAoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDAkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBgaAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwRATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYKgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMGQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGDoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDCEBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBhKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwpATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYA,CPrL07APrL07AAfNddENDCCoAP_AAH_AAAigIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgBQKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwJATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYGgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMEQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGCoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDBkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBg6AmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwhATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYSgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMKQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGA,CPrL07APrL07AAfNddENDCCgAAAAAAAAAAigAAAAAAFAoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDAkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBgaAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwRATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYKgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMGQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGDoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDCEBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBhKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwpATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYA,1,26,26,0,0,0,0,31,14
"autoservice,co,at",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,15
"autoservicepraxis,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrNOk7PrNOl4AcABBENDCCsAP_AAH_AAAYgIXNf_X__b2_j-_5_f_t0eY1P9_7_v-0zjhfdl-8N3f_X_L8X52M7vF36pq4KuR4ku3LBIQVlHOHcDUmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n13T-ZKY7_6vO__zvneQAgZCAGAAhAAQQAAAgKAAAAAAAAAASEAAAAAAAAAAAABAAgIkEELgCTDVuIAuzLHBm2jCKBECMKwkKgFABRQDC0QGEDq4KdlcBPrCJACgFAE4EQIcAUZMAgAAEgCQiACQI8EAgAIgEAAIAFQiEABGwCCwAsBAIABQDQsQIoAhAkIMCACIUwICgAAABACAAAAAAAAAAABAAAAAAAAAACAAAAAAAAAAAAAAAAAAACAOEgBAMGAhCEAAgQMDQAQGMDoAQDBgGMEAAIEKCkAIBjAEISgAECBg,f_gAD_gAAAAA","CPrNOndPrNOpRAcABBENDCCgAAAAAAAAAAYgAAAAAADhIAQDBgIQhAAIEDA0AEBjA6AEAwYBjBAACBCgpACAYwBCEoABAgYA,YAAAAAAAAAAA",1,199,199,0,0,0,0,0,16
"backenmachtgluecklich,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCsAP_AAAAAACQgIsgZ5D7cTWFheXx7QPs0eYwf11ARJmAiCgKAA6ABSDMAcLQEmmASMAyAAAACAAwEIBJBAAAkCAFEAUAQQIgAABHkAgAEhAAIICBEABERAAAACAIKCAAAAQAIAAARIgAAmQCAQ0LmRFQAgIAQJAAAgIggAIAFAgMAAAAAAAIAAAAAggAAAQAAAAAAAAACAAABIJAmAAWABUADIAHIAPABBADQANQAeQBEAEUAJgATwA3gBzAD8AIQAQ0AiACJAEcAJYATQApQBbgDDgH4AfoBAwCLgEcAJMASkAxQBtADcAHEASIApEBeYDJAGXANYCACwANgAkABkAD8AP4A5wCzgI9ASsAuoBkIaAQAFwAQwA_ACCgEmALQAkQBSIYACAdQRAFAEMAPwAkwCRAFIiAAIAJB0DQABYAFQAMgAcgA-AEEANAA1AB4AD6AIgAigBMACfAFwAXQAxABmADeAHMAPwAhoBEAESAJYATQApQBYgC3AGGANGAfgB-gEDgIsAi8BHAEdAJMASkAtABigDaAG4AOIAc4A6gB9gEXgJEAXmAvoBkgDLAGXANVAawA4sCAIEGhwBQAC4AJAAZAA_ADQAH8ARwAzQBzgDuAIKAQgAs4BgQDXgI9ASsAmIBdQDISUBsABYAGQAOAAfAB4AEQAJgAXAAxABmAENAIgAiQBHAClAFuAPwAjgBaADFAG4AOoAi8BIgC8wGWANYAgCSAEgAXAFyAM0AdwBrwDtgH2AR6AlYVAGACYAFwARwBHAC0ALzFAAgCCgI9GQBAAmACOAI4AvMYABAR6QgKAALAAyADUAJgAXAAxABmADeAI4AUoAsQCOAEpALQAYoA2gBzgDqAJEAaqQAEABoAD-AM0Ac4BBQDtgI9ATEUgSgALAAqABkADkAHwAggBoAGoAPIAiACKAEwAJ4AUgAxABmADmAH4AQ0AiACJAFKALEAW4A0YB-AH6ARaAjgCOgEpAMUAbQA3AB9gEXgJEAXmAvoBkgDLAGXANYKAEAALgAkABkAD8ANoAfwBHAC5AGaAOcAdwBdQDXgHbAR6AmI,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA",1,0,0,0,0,0,0,6,17
"bahnblogstelle,com",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfH8BENDCCgAAAAAAAAAAigAAAAAAAA,CPrL07APrL07AAfH8BENDCCgAP_AAH_AAAigF5wAQF5gXnABAXmAAA,CPrL07APrL07AAfH8BENDCCgAAAAAAAAAAigAAAAAAAA,1,1,1,0,0,0,0,31,18
"basic-tutorials,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,19
"baugewerbe-magazin,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfB4BDEDCCgAAAAAAAAAAigAAAAAAFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,CPrL07APrL07AAfB4BDEDCCgAP_AAH_AAAigF5wAwDmgLaAXmBecAMA5oC2gF5gFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,CPrL07APrL07AAfB4BDEDCCgAAAAAAAAAAigAAAAAAFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,1,3,3,0,0,0,0,31,20
"bba-online,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,21
